                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0591,                0.73225,                 1.0191,                0.94735,                0.97707,                0.98859,                0.66053,                 1.3058,                0.69984,                 1.1795,              0.0011885,              0.0011885,              0.0011885
                     36,                  1.081,                0.75183,                 1.0183,                0.98797,                0.99099,                0.99482,                0.68924,                 1.2518,                 0.6603,                 1.1478,              0.0011814,              0.0011814,              0.0011814
                     37,                 1.0571,                0.73983,                0.99957,                0.97331,                0.99814,                0.99302,                0.65315,                 1.2786,                0.68275,                 1.0978,              0.0011744,              0.0011744,              0.0011744
                     38,                 1.0337,                 0.7349,                 1.0021,                0.96432,                0.97143,                0.98592,                0.63539,                 1.2406,                0.84064,                 1.1331,              0.0011673,              0.0011673,              0.0011673
                     39,                  1.048,                0.70823,                 1.0034,                0.96963,                0.97562,                0.99166,                0.65573,                 1.2811,                0.67772,                 1.1077,              0.0011602,              0.0011602,              0.0011602
                     40,                 1.0318,                0.70794,                0.99445,                0.97875,                0.98552,                0.99317,                0.66007,                 1.2317,                0.63736,                 1.1262,              0.0011531,              0.0011531,              0.0011531
                     41,                 1.0377,                0.71491,                0.99429,                0.93718,                0.97016,                0.98146,                0.67138,                 1.2747,                0.77689,                 1.1454,              0.0011461,              0.0011461,              0.0011461
                     42,                 1.0232,                0.70673,                0.98796,                0.93004,                0.99048,                0.98712,                0.67173,                 1.2421,                0.68982,                 1.1037,               0.001139,               0.001139,               0.001139
                     43,                 1.0058,                0.68782,                0.99759,                0.96275,                  0.981,                0.97222,                0.66099,                 1.2382,                0.62964,                 1.0677,              0.0011319,              0.0011319,              0.0011319
                     44,                 1.0013,                0.67981,                0.98753,                0.96033,                0.97894,                0.99374,                0.68349,                 1.2094,                0.63747,                 1.0372,              0.0011248,              0.0011248,              0.0011248
                     45,                 1.0049,                0.68139,                0.99428,                0.96242,                0.99048,                0.99401,                0.64502,                 1.3177,                 0.6681,                 1.0939,              0.0011178,              0.0011178,              0.0011178
                     46,                 1.0233,                0.69474,                 0.9968,                0.95225,                0.95439,                0.98737,                0.63872,                 1.2927,                0.67212,                 1.1095,              0.0011107,              0.0011107,              0.0011107
                     47,                0.98972,                0.67792,                0.98439,                0.94211,                0.98528,                0.98458,                0.63162,                 1.3681,                 0.6369,                 1.1428,              0.0011036,              0.0011036,              0.0011036
                     48,                0.99816,                0.67284,                0.98114,                0.96613,                0.96684,                0.99314,                0.65232,                 1.3506,                0.63924,                 1.1108,              0.0010965,              0.0010965,              0.0010965
                     49,                0.97068,                0.64605,                0.97483,                0.96634,                0.99048,                0.98555,                0.63827,                 1.2037,                0.65168,                 1.0742,              0.0010895,              0.0010895,              0.0010895
                     50,                0.98877,                0.65144,                0.97138,                0.99849,                0.97102,                0.99291,                0.62755,                 1.2732,                0.63841,                 1.0252,              0.0010824,              0.0010824,              0.0010824
                     51,                 1.0095,                0.66064,                0.97554,                 0.9437,                0.98065,                0.98792,                0.64004,                 1.2434,                0.62971,                 1.0416,              0.0010753,              0.0010753,              0.0010753
                     52,                0.95695,                0.64985,                0.96799,                0.93644,                0.98095,                0.97567,                0.64572,                 1.2325,                 0.6436,                 1.0851,              0.0010682,              0.0010682,              0.0010682
                     53,                0.94643,                0.64611,                0.98125,                0.97692,                0.99608,                0.99407,                0.65664,                 1.2532,                0.68987,                 1.1123,              0.0010612,              0.0010612,              0.0010612
                     54,                0.96713,                0.65908,                0.98219,                0.99379,                0.98566,                0.99157,                0.66679,                 1.1939,                0.65624,                 1.0523,              0.0010541,              0.0010541,              0.0010541
                     55,                0.92071,                0.62476,                0.97322,                0.98983,                0.97122,                0.99166,                0.65157,                 1.3031,                0.66632,                 1.0744,               0.001047,               0.001047,               0.001047
                     56,                0.96361,                0.61846,                 0.9729,                0.97603,                0.96821,                0.98415,                0.66066,                 1.2344,                0.62799,                 1.0224,                0.00104,                0.00104,                0.00104
